first_name;last_name;data_nascita;sesso;email;citta;cap;via;numero_civico;numero_telefono;work;hobby
sdadw;asdasd;2018-11-17;maschio;prova.prova@prova.com;san-francisco;12343;vià prova test bug;123a;+1230012398855;boh;trovare bachi nei programmi
provagender;testgender;1970-12-05;maschio;test.gender@gender.ch;congo city;9999;via congolese;999z;+9992322343500;yolo;yolo
regday;regday-surname;2009-09-01;femmina;regday.regday@regday.com;partigiano;1233;reg strasse;213d;+99344443434;student;devo raggiungere 30 registrazioni :3
mucca;milka;2001-09-11;femmina;mucca.milka@edu.ti.ch;cioccolato landia;1234;milka's strasse;91;+0032323232323;faccio il latte;mangio il cioccolato
favij;fake;1999-09-09;femmina;test-not.accents@accents.com;city of lights;1323;pollino carino;123d;00212343242343;awdjklasdskjlasd;jkasjlkwrwlkj
filippo;skidder;2001-12-22;maschio;filippo.skidder@samtrevano.ch;balerna;9999;skidder base;01d;+4134789324757;asdhjkadjlk;
saker;scasdka;1990-12-09;femmina;asdjkalskdjasdljk@aswkjdasjlkd.com;asdasdhjgasdhjkh;99867;asjkh;123;00123031281327;;
luca;di bello;2001-10-25;maschio;prova@prova.com;ashjkd;1233;asdasd;123d;0023123123133;asdjlasdjlk;
luca;di bello;2001-10-25;maschio;asasd@asd.com;hjkash;98879;ashjkd;123d;0098079832476;jhkasdhjkdaasd;asdhjgasdhjk
prova test;test;2017-08-07;maschio;prova@prova.com;locarno cityhjads;13213;kjlsd;131d;00414223123123;;
àèìòÙòàkm;asasdsda;1992-02-09;maschio;asdghjasdghk@asdjkasdh.com;hasdhjasdhjk;12312;basdjasdkjasdhjda;13p;+6465464656756;awdhiadwh;dadwdwdwdwdwdwdwd *: adahwdkjh()=843242367183241231231232gasdgdasjgdwgdjhwgdjhwgdjwhgu32z3t34z2z4uasdamdh
sdlkjkasjd;asjlkasdjlk;2018-11-17;maschio;asdasdaw@fskd.com;asdjkadjk;1233;asdjhasdhjh;123d;001212312312312;;
