reg_date;first_name;last_name;data_nascita;sesso;email;citta;cap;via;numero_civico;numero_telefono;work;hobby
01.11.2018 17:29;luca;di bello;25.10.2001;maschio;luca.dibello@samtrevano.ch;arzo;6864;cave di marmo;4;41765969984;studente;testo sttrano {prova}
01.11.2018 18:22;sadasd;dqasd;10.02.2001;maschio;akjdsjkd@gmami.cokm;sakjd;13223;adasd;13s;12323232323;askjdksajk;askldsad
01.11.2018 18:57;pinco;pallino;29.10.1944;maschio;pinco.pallino@sunrise.com;parigi;23226;delle castagne marce;6;41799999999;ricercatrice castagne;
02.11.2018 15:41;test;test;10.04.1980;maschio;test@dummyhost.com;test;12345;testing prova;321d;3.41766E+11;asdsadads;
02.11.2018 15:56;prova;prova;10.02.2001;maschio;prova@prova.com;ads;1232;asdads;123s;41765969984;ads;
03.11.2018 17:33;lucà' ciao;ciao-ciao prova;25.10.2001;maschio;luca.dibello@samtrevano.ch;arzo;6864;via cave di marmo;31a;41765969984;studente;provaaksdkawjdlwkjdlkwjd
03.11.2018 17:35;test;test;11.12.2001;maschio;adjk@gmail.com;san-cristo;13343;delle-exception;31a;7.65435E+12;adawdnwamdnwad;sadlkawdlkajdslkdjwld
03.11.2018 18:05;luca;di bello;10.02.2001;femmina;lu@lu.co;luca;12123;asdads;123d;12312312312;asdsa;asasdd
09.11.2018 10:53;sdadw;asdasd;17.11.2018;maschio;prova.prova@prova.com;san-francisco;12343;via� prova test bug;123a;1.23001E+12;boh;trovare bachi nei programmi
09.11.2018 11:00;provagender;testgender;05.12.1970;maschio;test.gender@gender.ch;congo city;9999;via congolese;999z;9.99232E+12;yolo;yolo
09.11.2018 11:02;regday;regday-surname;01.09.2009;femmina;regday.regday@regday.com;partigiano;1233;reg strasse;213d;99344443434;student;devo raggiungere 30 registrazioni :3
09.11.2018 11:06;mucca;milka;11.09.2001;femmina;mucca.milka@edu.ti.ch;cioccolato landia;1234;milka's strasse;91;32323232323;faccio il latte;mangio il cioccolato
09.11.2018 11:12;favij;fake;09.09.1999;femmina;test-not.accents@accents.com;city of lights;1323;pollino carino;123d;2.12343E+11;awdjklasdskjlasd;jkasjlkwrwlkj
09.11.2018 11:14;filippo;skidder;22.12.2001;maschio;filippo.skidder@samtrevano.ch;balerna;9999;skidder base;01d;4.13479E+12;asdhjkadjlk;
09.11.2018 11:15;saker;scasdka;09.12.1990;femmina;asdjkalskdjasdljk@aswkjdasjlkd.com;asdasdhjgasdhjkh;99867;asjkh;123;1.23031E+11;;
09.11.2018 11:21;luca;di bello;25.10.2001;maschio;prova@prova.com;ashjkd;1233;asdasd;123d;23123123133;asdjlasdjlk;
09.11.2018 11:23;luca;di bello;25.10.2001;maschio;asasd@asd.com;hjkash;98879;ashjkd;123d;98079832476;jhkasdhjkdaasd;asdhjgasdhjk
09.11.2018 11:24;prova test;test;07.08.2017;maschio;prova@prova.com;locarno cityhjads;13213;kjlsd;131d;4.14223E+11;;
09.11.2018 11:26;àèìòÙòàkm;asasdsda;09.02.1992;maschio;asdghjasdghk@asdjkasdh.com;hasdhjasdhjk;12312;basdjasdkjasdhjda;13p;6.46546E+12;awdhiadwh;dadwdwdwdwdwdwdwd *: adahwdkjh()
09.11.2018 12:45;sdlkjkasjd;asjlkasdjlk;17.11.2018;maschio;asdasdaw@fskd.com;asdjkadjk;1233;asdjhasdhjh;123d;1.21231E+12;;
